uri_inchikey,iupacName,prefLabel,prefLabel_en,altLabel,notation,definition,exactMatch,casNumber,ecNumber,pubchem,inScheme,source,validatie_status
IGDJYCYTMKFRMP-UHFFFAOYSA-N,4-(10-methylundecyl)phenol,,"Phenol, 4-isododecyl-",,,,,27147-75-7|27459-10-5,,compound:CID11780323,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IGFHQQFPSIBGKE-UHFFFAOYSA-N,4-NONYLPHENOL,4-nonylfenol,,4-n-nonylfenol,4C9yFol,,wise:CAS_104-40-5,104-40-5|29832-11-9|68081-86-7,,compound:CID1752,conceptscheme:chemische_stof,,status:todo
IGGUPRCHHJZPBS-UHFFFAOYSA-N,Nonacosane,nonacosaan,,,C29a,,,630-03-5,,compound:CID12409,conceptscheme:chemische_stof,,status:todo
IGIDLTISMCAULB-UHFFFAOYSA-N,3-METHYLPENTANOIC ACID,3-methylpentaanzuur,,,3C1yC5azr,,,105-43-1|22160-40-3,,compound:CID7755,conceptscheme:chemische_stof,,status:todo
IGJQUJNPMOYEJY-UHFFFAOYSA-N,1-(1H-Pyrrol-2-yl)ethanone,2-acetylpyrrol,,,2actprl,,,1072-83-9,,compound:CID14079,conceptscheme:chemische_stof,,status:todo
IGLNJRXAVVLDKE-OUBTZVSYSA-N,rubidium-86,rubidium 86,,,Rb86,,,14932-53-7,,compound:CID6335499,conceptscheme:chemische_stof,,status:todo
IGLNJRXAVVLDKE-UHFFFAOYSA-N,RUBIDIUM,rubidium,,,Rb,,,7440-17-7|22438-27-3|15438-27-4,,compound:CID5357696,conceptscheme:chemische_stof,,status:todo
IGMAJZUZHBYXIG-UHFFFAOYSA-N,trisilver;arsorotrithious acid,,Proustite (Ag3(AsS3)),,,,,15122-58-4,239-179-7,compound:CID167244,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IGTSAXNKMKEKCI-UHFFFAOYSA-N,2-ethylhexanoic acid;8-methylnonanoic acid;nickel,,(2-ethylhexanoato-O)(isodecanoato-O)nickel,,,,,84852-39-1,284-351-7,compound:CID119057737,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IGUYEXXAGBDLLX-UHFFFAOYSA-N,"ethyl 3-(3,5-dichlorophenyl)-5-methyl-2,4-dioxo-1,3-oxazolidine-5-carboxylate",chlozolinaat,,,chlozlnt,,,84332-86-5|72391-46-9,,compound:CID51574,conceptscheme:chemische_stof,,status:todo
IGZLSWCUPJLTLQ-UHFFFAOYSA-N,arsoric acid;hydrate,,Arsenic acid hemihydrate,,,,,7774-41-6,,compound:CID202213,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IHAXIFZOERJWDF-UHFFFAOYSA-N,"1,2,3,4,7,7-hexachlorobicyclo[2.2.1]hepta-2,5-diene",,"1,2,3,4,7,7-Hexachloronorbornadiene",,,,,3389-71-7,222-220-8,compound:CID18820,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IHPXJGBVRWFEJB-UHFFFAOYSA-N,"2,3,6-TRIMETHYLHEPTANE","2,3,6-trimethylheptaan",,,236TC1yC7a,,,4032-93-3,,compound:CID19944,conceptscheme:chemische_stof,,status:todo
IHQKEDIOMGYHEB-UHFFFAOYSA-M,sodium;dimethylarsinate|sodium;dimethylarsinate;trihydrate,,Sodium cacodylate|Sodium cacodylate trihydrate,,,,,124-65-2|6131-99-3,204-708-2|682-793-9,compound:CID23679059|compound:CID2724247,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IHTSMKSDNSSELM-UHFFFAOYSA-N,acetic acid;naphthalen-2-amine|naphthalen-2-ylazanium;acetate,,2-Naphthylammonium acetate|Naphthalen-2-aminium acetate,,,,,553-00-4,209-030-0,compound:CID53424732|compound:CID71097,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IHYMJUVQLSNPPP-UHFFFAOYSA-N,"2,2-difluoro-2-(trifluoromethoxy)acetic acid",perfluor-2-methoxyazijnzuur,,,PFMOAA,,,674-13-5,821-118-6,compound:CID5125273,conceptscheme:chemische_stof,,status:todo
IHZDZPRRNLLTIF-UHFFFAOYSA-N,dichloro(diphenyl)plumbane|diphenyllead(2+);dichloride,,Diphenyllead dichloride|Diphenyllead(2+);dichloride,,,,,2117-69-3,218-325-3,compound:CID102248384|compound:CID75032|compound:CID88467561,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IIACRCGMVDHOTQ-UHFFFAOYSA-N,Sulfamic acid,sulfaminezuur,,,sulfAezr,,,5329-14-6,,compound:CID5987,conceptscheme:chemische_stof,,status:todo
IIBYAHWJQTYFKB-UHFFFAOYSA-N,2-[4-[2-[(4-chlorobenzoyl)amino]ethyl]phenoxy]-2-methylpropanoic acid,bezafibraat,,,bezafbt,,wise:CAS_41859-67-0,41859-67-0,,compound:CID39042,conceptscheme:chemische_stof,,status:todo
IIPZYDQGBIWLBU-UHFFFAOYSA-N,"2-tert-Butyl-4,6-dinitrophenol",dinoterb,,,Dntb,,,1420-07-1,,compound:CID14994,conceptscheme:chemische_stof,,status:todo
IISBACLAFKSPIT-UHFFFAOYSA-N,4-[2-(4-hydroxyphenyl)propan-2-yl]phenol,bisfenol-A,,bisfenol a|bisfenol-a,bisFolA,,wise:CAS_80-05-7,37808-08-5|27100-33-0|27360-89-0|137885-53-1|28106-82-3|80-05-7,,compound:CID6623,conceptscheme:chemische_stof,,status:todo
IITCWRFYJWUUPC-UHFFFAOYSA-N,"DIPROPYL PYRIDINE-2,5-DICARBOXYLATE",dipropyl-isocinchomeronaat,,,DC3yiccmrnt,,,136-45-8|114308-72-4,,compound:CID8693,conceptscheme:chemische_stof,,status:todo
IIYKUJVECNNTEY-LREBCSMRSA-N,"(2R,3R)-2,3-dihydroxybutanedioic acid;3-(9,9-dimethylacridin-10-yl)-N,N-dimethylpropan-1-amine",,Dimetacrine Bitartrate,,,,,3759-07-7,223-166-8,compound:CID94279,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IIYRNPYRTPIBQB-UHFFFAOYSA-M,"(2,3,4,5,6-pentachlorophenoxy)-phenylmercury",,"Mercury, (pentachlorophenoxy)phenyl-",,,,,1142-64-9,,compound:CID16682952,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IJCPCGITVCYKNU-CRJLSQNGSA-L,"(11Z)-1,3,5,7,9-pentaoxa-2lambda2,4lambda2,6lambda2,8lambda2-tetraplumbacyclotridec-11-ene-10,13-dione",,(Maleato)trioxotetralead,,,,,12275-07-9,235-549-7,compound:CID44150982,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IJDNQMDRQITEOD-UHFFFAOYSA-N,BUTANE,butaan,,,C4a,,,68476-42-6|106-97-8|68551-21-3|68527-17-3|68514-31-8|68475-59-2,,compound:CID7843,conceptscheme:chemische_stof,,status:todo
IJFPVINAQGWBRJ-UHFFFAOYSA-N,"bis(6-methylheptyl) benzene-1,2-dicarboxylate",di-isooctylftalaat,,,DiC8yFt,,,1330-91-2|71097-28-4|25103-50-8|41375-90-0|27554-26-3,,compound:CID33934,conceptscheme:chemische_stof,,status:todo
IJGRMHOSHXDMSA-UHFFFAOYSA-N,molecular nitrogen,distikstof,,,N2,,,93037-13-9|7727-37-9|156457-45-3|161728-27-4,,compound:CID947,conceptscheme:chemische_stof,,status:todo
IJJVMEJXYNJXOJ-UHFFFAOYSA-N,"3-(2,4-dichlorophenyl)-6-fluoro-2-(1,2,4-triazol-1-yl)quinazolin-4-one",fluquinconazool,,,fluqcnzl,,,136426-54-5,,compound:CID86417,conceptscheme:chemische_stof,,status:todo
IJLXLZGJDSJGIQ-BILPMHSYSA-N,"(8R,9S,10R,13S,14S,16R,17S)-16-ethyl-17-(2-hydroxyacetyl)-13-methyl-2,6,7,8,9,10,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-one","16alfa-ethyl-21-hydroxy-19-nor-4-pregnene-3,20-dione",,,org2058,,,24320-06-7,,compound:CID119086,conceptscheme:chemische_stof,,status:todo
IJROZEMYHVDYOO-UHFFFAOYSA-N,cadmium(2+);iron(2+);hexacyanide,,Dicadmium hexakis(cyano-C)ferrate(4-),,,,,13755-33-4,237-341-1,compound:CID25021348,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IJVGIFSYGYHUEV-UHFFFAOYSA-L,bis(2-hydroxypropanoyloxy)mercury,,Bis((+)-lactato)mercury,,,,,18917-83-4|33724-17-3|814-82-4,|242-667-2|251-657-7,compound:CID13146|compound:CID75124257,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IJWXCYSPVNCDMA-UHFFFAOYSA-N,4-(2-methyloctan-2-yl)phenol,,"p-(1,1-Dimethylheptyl)phenol",,,,,30784-30-6,250-339-5,compound:CID3015513,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IKAUTNDSSJUOLL-UHFFFAOYSA-N,nickel;oxygen(2-);vanadium,,Nickel vanadium oxide (NiV2O6),,,,,52502-12-2,257-970-5,compound:CID171167,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IKHGUXGNUITLKF-UHFFFAOYSA-N,acetaldehyde,acetaldehyde,,acetaldehyde |ethanal,C2al,,,75-07-0,,compound:CID177,conceptscheme:chemische_stof,,status:todo
IKHNVATUHWDNGI-UHFFFAOYSA-N,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecanoic acid",,102Fta,,,,,53826-13-4,,compound:CID11028244,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IKIBSPLDJGAHPX-UHFFFAOYSA-N,triiodoarsane,,Arsenic triiodide,,,,,7784-45-4,232-068-4,compound:CID24575,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IKKGBNMXVOHABP-UHFFFAOYSA-K,aluminum;azanium;tetrachloride,,Ammonium chloroaluminate,,,,,7784-14-7,885-776-6,compound:CID76966199,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IKTHMQYJOWTSJO-UHFFFAOYSA-N,"1-(6-tert-butyl-1,1-dimethyl-2,3-dihydroinden-4-yl)ethanone",celestolide,,,ADBI,,,13171-00-1|88401-65-4,,compound:CID61585,conceptscheme:chemische_stof,,status:todo
IKVXBIIHQGXQRQ-CYBMUJFWSA-N,propan-2-yl (2R)-2-[benzoyl-(3-chloro-4-fluorophenyl)amino]propanoate,flamprop-m-isopropyl,,flamprop-M-isopropyl,flampMiC3y,,,63782-90-1,,compound:CID94583,conceptscheme:chemische_stof,,status:todo
IKVXBIIHQGXQRQ-UHFFFAOYSA-N,propan-2-yl 2-[benzoyl-(3-chloro-4-fluorophenyl)amino]propanoate,iso-propylflamprop,,,iC3yfpp,,,52756-22-6,,compound:CID40520,conceptscheme:chemische_stof,,status:todo
IKYRNTJITFLYOS-UHFFFAOYSA-N,"2,3,4,4,5,5,6,6,6-nonafluoro-2,3-bis(trifluoromethyl)hexanoic acid",,"2,3,4,4,5,5,6,6,6-Nonafluoro-2,3-bis(trifluoromethyl)hexanoic acid",,,,,1812247-18-9,,compound:CID138396469,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ILBONRFSLATCRE-UHFFFAOYSA-N,"N-diethoxyphosphoryl-1,3-dithiolan-2-imine",fosfolan,,,fosfln,,,99910-17-5|947-02-4,,compound:CID13689,conceptscheme:chemische_stof,,status:todo
ILBWBNOBGCYGSU-UHFFFAOYSA-N,"1,1,3,3,5,5,7,7-Octamethyltetrasiloxane",octamethyltetrasiloxaan,,,OcC1yT4slxn,,,1000-05-1,,compound:CID6328651,conceptscheme:chemische_stof,,status:todo
ILCDJONHAATPBH-UHFFFAOYSA-I,mercury(2+);triethylsulfanium;pentaiodide,,Triethylsulfonium mu-iodotetraiododimercurate(1-),,,,,12328-03-9,,compound:CID202585,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ILKJAFIWWBXGDU-WRRBAOOESA-N,"[2-[(2S,4R,8S,11S,12R)-12-fluoro-11-hydroxy-9,13-dimethyl-16-oxospiro[5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-diene-6,1'-cyclopentane]-8-yl]-2-oxoethyl] acetate",amcinonide,,,amcnnde,,,51022-69-6,,compound:CID39858,conceptscheme:chemische_stof,,status:todo
ILNYPZQFEYLLFT-UHFFFAOYSA-L,cadmium(2+);sulfite,,Cadmium sulphite,,,,,13477-23-1,236-767-5,compound:CID22571170,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ILVKYQKHSCWQAW-UHFFFAOYSA-N,"1-O-heptyl 2-O-undecyl benzene-1,2-dicarboxylate",,Heptyl undecyl phthalate,,,,,68515-42-4,271-084-6,compound:CID6423795,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ILWUAAQCLXAYBW-UHFFFAOYSA-N,oxoboranyloxy(phenyl)mercury,,(Metaborato-O)phenylmercury,,,,,31224-71-2,250-518-8,compound:CID75124191,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IMACFCSSMIZSPP-UHFFFAOYSA-N,2-Chloro-1-phenylethanone,2-chlooracetofenon,,,2Clactfnn,,,532-27-4,,compound:CID10757,conceptscheme:chemische_stof,,status:todo
IMBKASBLAKCLEM-UHFFFAOYSA-L,azane;hydrogen sulfate;iron(2+)|azane;iron(2+);sulfuric acid;sulfate|diazanium;iron(2+);disulfate,,Ammonium iron(ii)sulfate|Azane;iron(2+);sulfuric acid;sulfate|Ferrous ammonium sulfate,,,,,10045-89-3,233-151-8,compound:CID24863|compound:CID57495516|compound:CID71312611,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IMEVJVISCHQJRM-UHFFFAOYSA-N,"methyl 2-[[4-dimethylamino-6-(2,2,2-trifluoroethoxy)-1,3,5-triazin-2-yl]carbamoylsulfamoyl]-3-methylbenzoate",triflusulfuron-methyl,,,TfsfrnC1y,,,126535-15-7,,compound:CID92434,conceptscheme:chemische_stof,,status:todo
IMEYSCIEAFLSQJ-UHFFFAOYSA-N,"1,4-dibromo-2-(2,6-dibromophenyl)benzene","2,2',4,4'-tetrabroombifenyl",,,PBB52,,,59080-37-4|60044-25-9,,compound:CID91669,conceptscheme:chemische_stof,,status:todo
IMFACGCPASFAPR-UHFFFAOYSA-N,"N,N-dibutylbutan-1-amine",tributylamine,,,TC4yAe,,,168153-19-3|102-82-9,,compound:CID7622,conceptscheme:chemische_stof,,status:todo
IMGCFEAIPPYFGB-UHFFFAOYSA-L,icosanoate;lead(2+),,Lead icosanoate (1:2),,,,,94266-31-6|94266-32-7,304-438-6|304-439-1,compound:CID57356746,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IMGNYAPMSDUASV-UHFFFAOYSA-K,trisilver;arsorate,,Silver arsenate,,,,,13510-44-6,236-841-7,compound:CID166835,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IMHBYKMAHXWHRP-UHFFFAOYSA-N,"4,6-Dichloro-N-(2-chlorophenyl)-1,3,5-triazin-2-amine",anilazine,,,anlzne,,,101-05-3,,compound:CID7541,conceptscheme:chemische_stof,,status:todo
IMIDOCRTMDIQIJ-UHFFFAOYSA-N,(4-dimethylamino-3-methylphenyl) N-methylcarbamate,aminocarb,,,Aocb,,,2032-59-9,,compound:CID16247,conceptscheme:chemische_stof,,status:todo
IMKHDCBNRDRUEB-UHFFFAOYSA-N,"4,4,7a-trimethyl-6,7-dihydro-5H-1-benzofuran-2-one","5,6,7,7a-tetrahydro-4,4,7a-trimethyl-2-benzofuranon",,,5677aT4H447a,,,17092-92-1|15356-74-8|19432-05-4,,compound:CID27209,conceptscheme:chemische_stof,,status:todo
IMNFDUFMRHMDMM-UHFFFAOYSA-N,HEPTANE,heptaan,,n-heptaan,C7a,,,8031-33-2|142-82-5|44607-13-8,,compound:CID8900,conceptscheme:chemische_stof,,status:todo
IMPIWCJNMFOUQI-UHFFFAOYSA-N,antimony;nickel|stibanylidynenickel,,Antimony;nickel|Breithauptite,,,,,12035-52-8,234-827-5,compound:CID20835764|compound:CID61553,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IMPPGHMHELILKG-UHFFFAOYSA-N,4-ethoxyaniline,,P-Phenetidine,,,,,156-43-4,205-855-5,compound:CID9076,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IMROMDMJAWUWLK-UHFFFAOYSA-N,Ethenol,polyvinylalcohol,,,polvnachl,,,9002-89-5|557-75-5,,compound:CID11199,conceptscheme:chemische_stof,,status:todo
IMRYETFJNLKUHK-UHFFFAOYSA-N,"1-(1,1,2,6-tetramethyl-3-propan-2-yl-2,3-dihydroinden-5-yl)ethanone",traseolide,,,ATTI,,,68140-48-7,,compound:CID91696,conceptscheme:chemische_stof,,status:todo
IMSSROKUHAOUJS-MJCUULBUSA-N,"(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol",mestranol,,,mesnl,,,72-33-3|53445-46-8|43085-54-7,,compound:CID6291,conceptscheme:chemische_stof,,status:todo
IMUDHTPIFIBORV-UHFFFAOYSA-N,2-piperazin-1-ylethanamine,2-aminoethylpiperazine,,,2AoC2ypprzne,,,140-31-8,,compound:CID8795,conceptscheme:chemische_stof,,status:todo
INBVSRSYWUSJNP-UHFFFAOYSA-L,(2-mercuriooxy-2-oxoacetyl)oxymercury|mercury(1+);oxalate,,dimercury(I) oxalate|Quecksilber(I)-oxalat,,,,,2949-11-3,220-966-9,compound:CID25021881|compound:CID91886447,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
INFDPOAKFNIJBF-UHFFFAOYSA-N,1-methyl-4-(1-methylpyridin-1-ium-4-yl)pyridin-1-ium,paraquat,,,parqt,,,116047-10-0|4685-14-7,,compound:CID15939,conceptscheme:chemische_stof,,status:todo
INFJVYKPPXZLJX-UHFFFAOYSA-N,"4-(2,6-dimethylheptan-2-yl)phenol",,"4-(2,6-Dimethyl-2-heptyl)phenol",,,,,521947-27-3,,compound:CID21723655,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
INGSNVSERUZOAK-UHFFFAOYSA-N,2-phenyl-2-piperidin-2-ylacetic acid,ritalinezuur,,,ritlnzr,,,19395-41-6,,compound:CID86863,conceptscheme:chemische_stof,,status:todo
INISTDXBRIBGOC-UHFFFAOYSA-N,[cyano-[3-(phenoxy)phenyl]methyl] 2-[[2-chloro-4-(trifluoromethyl)phenyl]amino]-3-methylbutanoate,fluvalinaat,,,flualnt,,,69409-94-5|79472-91-6,,compound:CID50516,conceptscheme:chemische_stof,,status:todo
INISTDXBRIBGOC-XMMISQBUSA-N,[cyano-[3-(phenoxy)phenyl]methyl] (2R)-2-[[2-chloro-4-(trifluoromethyl)phenyl]amino]-3-methylbutanoate,tau-fluvalinaat,,,taufvlnt,,,102851-06-9,,compound:CID91768,conceptscheme:chemische_stof,,status:todo
INLLPKCGLOXCIV-UHFFFAOYSA-N,Bromoethene,broometheen,,,BrC2e,,,25951-54-6|593-60-2,,compound:CID11641,conceptscheme:chemische_stof,,status:todo
INMHJULHWVWVFN-UHFFFAOYSA-N,"naphthalene-1,3,5-trisulfonic acid","naftaleen-1,3,5-trisulfonzuur",,,Naf135Tsfzr,,,6654-64-4,,compound:CID81165,conceptscheme:chemische_stof,,status:todo
INPLXZPZQSLHBR-UHFFFAOYSA-N,sulfanylidenecobalt,,Cobalt sulfide,,,,,1317-42-6,215-273-3,compound:CID14832,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
INQOMBQAUSQDDS-UHFFFAOYSA-N,Iodomethane,joodmethaan,,,IC1a,,,74-88-4|147937-07-3,,compound:CID6328,conceptscheme:chemische_stof,,status:todo
INXDHMXCTAMKSX-UHFFFAOYSA-N,azane;platinum(2+);dichloride;dihydrochloride|diazanium;dichloroplatinum;dichloride|diazanium;platinum(2+);tetrachloride|diazanium;tetrachloroplatinum(2-),,Azane;platinum(2+);dichloride;dihydrochloride|Diammonium tetrachloroplatinate|Diazanium;dichloroplatinum;dichloride|Diazanium;platinum(2+);tetrachloride,,,,,13820-41-2,237-499-1,compound:CID131674156|compound:CID137832695|compound:CID14574155|compound:CID16211508,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
INYDMNPNDHRJQJ-UHFFFAOYSA-N,"4-Methyl-1,2-dinitrobenzene","3,4-dinitrotolueen",,,34DNO2Tol,,,610-39-9,,compound:CID11883,conceptscheme:chemische_stof,,status:todo
IOEJYZSZYUROLN-UHFFFAOYSA-M,sodium diethylaminomethanedithioate,diethyldithiocarbamaat,,,DEDC,,,149099-81-0|143189-63-3|148-18-5|19622-06-1,,compound:CID8990,conceptscheme:chemische_stof,,status:todo
IOFHZPVEQXTSQW-BXUZGUMPSA-N,"(6R,7R)-3-(hydroxymethyl)-8-oxo-7-[(2-pyridin-4-ylsulfanylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",desacetycefapirine,,,,,,38115-21-8,,compound:CID162287,conceptscheme:chemische_stof,,status:todo
IOJUPLGTWVMSFF-UHFFFAOYSA-N,"1,3-benzothiazole",benzothiazool,,benzothiazole,benztazl,,wise:CAS_95-16-9,95-16-9|128366-28-9,,compound:CID7222,conceptscheme:chemische_stof,,status:todo
IOKPLNQRQWZPGF-UHFFFAOYSA-N,nickel(2+);oxygen(2-);zirconium(4+),,Nickel zirconium oxide (NiZrO3),,,,,70692-93-2,274-755-1,compound:CID172568,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IOPTXXRNXCPJGO-UHFFFAOYSA-N,[2-(ethylsulfonylmethyl)phenyl] N-methylcarbamate,ethiofencarbsulfon,,,etofcbsfn,,,53380-23-7,,compound:CID119490,conceptscheme:chemische_stof,,status:todo
IOQKJDCMPKUNQN-UHFFFAOYSA-L,"2,4-dioxa-3-mercurabicyclo[4.4.0]deca-1(10),6,8-trien-5-one|mercury(2+);2-oxidobenzoate",,"Mercuric salicylate|Mercury, [2-(hydroxy-kappaO)benzoato(2-)-kappaO]-",,,,,5970-32-1,227-760-8,compound:CID16682982|compound:CID76968173,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IOQPZZOEVPZRBK-UHFFFAOYSA-N,octan-1-amine,1-aminooctaan,,,1AoC8a,,,191113-89-0|111-86-4|68037-94-5,,compound:CID8143,conceptscheme:chemische_stof,,status:todo
IOUNQDKNJZEDEP-UHFFFAOYSA-N,"6-chloro-3-(diethoxyphosphinothioylsulfanylmethyl)-1,3-benzoxazol-2-one",fosalon,,,fosln,,,11129-09-2|54182-71-7|2310-17-0|29562-46-7,,compound:CID4793,conceptscheme:chemische_stof,,status:todo
IOVCWXUNBOPUCH-UHFFFAOYSA-M,NITRITE,nitriet,,,NO2,,wise:CAS_14797-65-0,12183-96-9|114466-53-4|14797-65-0,,compound:CID946,conceptscheme:chemische_stof,,status:todo
IOXAXYHXMLCCJJ-UHFFFAOYSA-N,"oxetan-3-yl 2-[(4,6-dimethylpyrimidin-2-yl)carbamoylsulfamoyl]benzoate",oxasulfuron,,,Oasfrn,,,144651-06-9,,compound:CID86443,conceptscheme:chemische_stof,,status:todo
IPCSVZSSVZVIGE-UHFFFAOYSA-N,Hexadecanoic acid,hexadecaanzuur,,,C16azr,,,60605-23-4|116860-99-2|66321-94-6|212625-86-0|67701-02-4|57-10-3,,compound:CID985,conceptscheme:chemische_stof,,status:todo
IPKKHRVROFYTEK-UHFFFAOYSA-N,"dipentyl benzene-1,2-dicarboxylate",dipentylftalaat,,di-n-pentylftalaat,DC5yFt,,wise:CAS_131-18-0,131-18-0,,compound:CID8561,conceptscheme:chemische_stof,,status:todo
IPLJNQFXJUCRNH-UHFFFAOYSA-L,dibromonickel|nickel(2+);dibromide,,Nickel bromide|Nickel(2+) dibromide,,,,,13462-88-9,236-665-0,compound:CID26037|compound:CID278492,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IPLMNKLLGMDMKO-UHFFFAOYSA-J,azane;cerium(4+);sulfuric acid;disulfate|diazanium;cerium(4+);trisulfate,,Azane;cerium(4+);sulfuric acid;disulfate|Ceric ammonium sulfate,,,,,14638-69-8|7637-03-8,231-567-4|238-682-9,compound:CID151472|compound:CID170841821,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IPPAUTOBDWNELX-UHFFFAOYSA-N,(2-ethoxy-2-oxoethyl) 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoate,fluorglycofen-ethyl,,,fluogcfnC2y,,,77501-90-7,,compound:CID53672,conceptscheme:chemische_stof,,status:todo
IPRJXAGUEGOFGG-UHFFFAOYSA-N,N-BUTYLBENZENESULFONAMIDE,butylbenzeensulfonamide,,,C4yBensfAd,,,3622-84-2,,compound:CID19241,conceptscheme:chemische_stof,,status:todo
IPVMCZLCKVSKGC-UHFFFAOYSA-N,"2,2,5,6-tetrachloro-1,7,7-tris(chloromethyl)bicyclo[2.2.1]heptane",,Sonatox,,,,,51775-36-1,,compound:CID40126,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IQBPNJJDIXBFNB-UHFFFAOYSA-H,cadmium(2+);silicon(4+);hexafluoride,,Cadmium fluosilicate,,,,,17010-21-8,241-084-0,compound:CID197153,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IQDGSYLLQPDQDV-UHFFFAOYSA-N,"['N-Methylmethanamine hydrochloride', 'hydron; N-methylmethanamine; chloride']",dimethylamine-hydrochloride,,,DC1yAeHCl,,,506-59-2,,compound:CID10473,conceptscheme:chemische_stof,,status:todo
IQFVPQOLBLOTPF-UHFFFAOYSA-L,disodium;4-amino-3-[[4-[4-[(1-amino-4-sulfonatonaphthalen-2-yl)diazenyl]phenyl]phenyl]diazenyl]naphthalene-1-sulfonate,,"Congo red|Congo red,IND",,,,,573-58-0,209-358-4,compound:CID11313|compound:CID517217,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IQGKIPDJXCAMSM-UHFFFAOYSA-N,"7-chloro-3-imidazol-1-yl-1-oxido-1,2,4-benzotriazin-1-ium",triazoxide,,,TazO,,,72459-58-6,,compound:CID93422,conceptscheme:chemische_stof,,status:todo
IQGOEFHMELKBAL-UHFFFAOYSA-L,8-methylnonanoyloxy(7-methyloctanoyloxy)lead,,(Isodecanoato-O)(isononanoato-O)lead,,,,,94246-86-3,304-160-5,compound:CID71300512,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
IQIBYAHJXQVQGB-UHFFFAOYSA-N,2-Methylbutane-2-thiol,2-methyl-2-butaanthiol,,,2C1yl2C4atol,,,1679-09-0,,compound:CID15511,conceptscheme:chemische_stof,,status:todo
IQUPABOKLQSFBK-UHFFFAOYSA-N,"['2-(dihydroxyamino)phenol', '2-Nitrophenol']",2-nitrofenol,,,2NO2Fol,,,88-75-5,,compound:CID6947,conceptscheme:chemische_stof,,status:todo
